image_name,image_path,latitude,longitude,label_code,label,num_pixels,dominant_pixel_count
28.8442_77.0322,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.8442_77.0322.png,28.8442,77.0322,40,Cropland,16384,13337
28.3090_77.0443,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.3090_77.0443.png,28.309,77.0443,20,Vegetation,16384,8598
28.5091_77.5443,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.5091_77.5443.png,28.5091,77.5443,40,Cropland,16384,8959
28.6942_77.1322,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.6942_77.1322.png,28.6942,77.1322,50,Built-up,16384,12449
28.9942_77.5234,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.9942_77.5234.png,28.9942,77.5234,40,Cropland,16384,13658
28.3679_77.6443,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.3679_77.6443.png,28.3679,77.6443,40,Cropland,16384,15235
28.7591_77.4944,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.7591_77.4944.png,28.7591,77.4944,50,Built-up,16384,6940
28.6854_77.2910,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.6854_77.2910.png,28.6854,77.291,50,Built-up,16384,16134
28.9178_77.0944,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.9178_77.0944.png,28.9178,77.0944,40,Cropland,16384,7989
28.8943_77.4944,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.8943_77.4944.png,28.8943,77.4944,40,Cropland,16384,11102
28.4057_77.5733,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.4057_77.5733.png,28.4057,77.5733,40,Cropland,16384,11689
28.7090_77.3822,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.7090_77.3822.png,28.709,77.3822,10,Vegetation,16384,9197
28.8090_76.9646,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.8090_76.9646.png,28.809,76.9646,40,Cropland,16384,11655
28.2178_77.3321,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.2178_77.3321.png,28.2178,77.3321,40,Cropland,16384,12699
28.2266_77.5146,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.2266_77.5146.png,28.2266,77.5146,40,Cropland,16384,16236
28.8442_77.5058,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.8442_77.5058.png,28.8442,77.5058,40,Cropland,16384,12349
28.2767_77.2822,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.2767_77.2822.png,28.2767,77.2822,50,Built-up,16384,7202
28.3556_77.3734,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.3556_77.3734.png,28.3556,77.3734,40,Cropland,16384,9462
28.3442_77.2410,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.3442_77.2410.png,28.3442,77.241,40,Cropland,16384,13819
28.5443_77.4321,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.5443_77.4321.png,28.5443,77.4321,30,Vegetation,16384,6377
28.5942_77.2058,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.5942_77.2058.png,28.5942,77.2058,10,Vegetation,16384,9836
28.3855_77.3145,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.3855_77.3145.png,28.3855,77.3145,50,Built-up,16384,12373
28.5267_77.3943,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.5267_77.3943.png,28.5267,77.3943,50,Built-up,16384,11556
28.4942_77.6234,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.4942_77.6234.png,28.4942,77.6234,40,Cropland,16384,10920
28.7591_77.0410,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.7591_77.0410.png,28.7591,77.041,40,Cropland,16384,9989
28.7266_77.2734,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.7266_77.2734.png,28.7266,77.2734,50,Built-up,16384,15720
28.5766_77.5944,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.5766_77.5944.png,28.5766,77.5944,40,Cropland,16384,13282
28.9178_77.3233,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.9178_77.3233.png,28.9178,77.3233,40,Cropland,16384,10627
28.9266_77.3943,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.9266_77.3943.png,28.9266,77.3943,40,Cropland,16384,14270
28.3090_77.3409,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.3090_77.3409.png,28.309,77.3409,40,Cropland,16384,5996
28.4854_77.4057,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.4854_77.4057.png,28.4854,77.4057,40,Cropland,16384,10430
28.4590_77.1645,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.4590_77.1645.png,28.459,77.1645,40,Cropland,16384,6972
28.7354_77.5909,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.7354_77.5909.png,28.7354,77.5909,40,Cropland,16384,15164
28.8354_77.3233,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.8354_77.3233.png,28.8354,77.3233,40,Cropland,16384,14650
28.6179_77.1058,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.6179_77.1058.png,28.6179,77.1058,50,Built-up,16384,10914
28.9678_76.9822,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.9678_76.9822.png,28.9678,76.9822,40,Cropland,16384,15881
28.5091_77.0821,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.5091_77.0821.png,28.5091,77.0821,50,Built-up,16384,11416
28.9442_77.4145,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.9442_77.4145.png,28.9442,77.4145,40,Cropland,16384,15601
28.8442_77.5234,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.8442_77.5234.png,28.8442,77.5234,40,Cropland,16384,11935
28.5854_77.2322,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.5854_77.2322.png,28.5854,77.2322,50,Built-up,16384,11209
28.7943_76.9734,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.7943_76.9734.png,28.7943,76.9734,40,Cropland,16384,14449
28.8057_77.3943,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.8057_77.3943.png,28.8057,77.3943,40,Cropland,16384,11866
28.8855_77.4910,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.8855_77.4910.png,28.8855,77.491,40,Cropland,16384,12218
28.3178_77.4409,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.3178_77.4409.png,28.3178,77.4409,40,Cropland,16384,15530
28.6355_76.9443,/home/anish/Anish_Drive/AI_sustainability/archive/rgb/28.6355_76.9443.png,28.6355,76.9443,40,Cropland,16384,13429
